name,screen_name,followers_count
aliq.eth 🍌🦇🔊,aliqutmiera,1933
Grant Flannery 🍌,grantpat,3229
madison🌸,madisonoliviaa_,3032
Ape Gallery 🍌,TheApeGallery,1991
Rarible,rarible,187605
Bored Ape Collector 🍌,ApeCollector,1633
BoredChairman.eth🪦,Realm_of_Crypto,76745
Crypto NFTs 🚀🌚,CryptoNFTs,3652
Skip Apeless,NFTgunny,1476
EL BLON 🍌,CBluntz,1556
Ondra.eth 🍌,ondra_eth,1429
Sir ApesAlot🍌,BoredApe9164,1819
SnitchLineNFT🍌,SnitchLineCo,1533
Erick / Snowfro / 🔱 / 🦩 / LAO / Ⓜ️ / #️⃣,ArtOnBlockchain,22456
Reedotorpedo 🍌,reedotorpedo1,1913
BIG MΞΞSH 🍌🏀🐕👽🐪💀🐘🐺 bigmeesh.eth,BigM33sh,3932
BoredApe#5349🍌,SuitedUpKurt,1467
Deanikk 🍌,Deanik_k,2133
AirWalk 🍌 Ape 2092,AirWalk009,1520
CocoBrown,j_oe167,1452
DCinvΞstor,iamDCinvestor,76913
ReapΞr 🍌,Reaper_NFT,1942
Rish,ILikeNFTs,2620
smitho.eth,iamsmitho,3715
8uddha 🍌,young8uddha,1683
EastCoastNFT.eth | 🍌BAYC #2829,EastCoastNFT,3243
NFT Giveaways & Promos,NFTshills,14339
Axie Infinity🦇🔊,AxieInfinity,394385
razrbckNFT,razrbck,1449
Laser Monke 🍌,LaserMonke,1414
jjust 🍌,JustBoredApe,1932
MrMiracle.eth 🍌,mrmiracle1984,2294
Imtiaz Kibria 🍌,imtiaz_kibria,3238
WhaleSharkdotPro,WhaleShark_Pro,46003
Bernardo,bernardo_cafe,4141
KingTrippy🍌,kingtrippy5116,2459
CryptokrAuS,CryptokrAuS,1747
NFT Update,NFTupdate,34769
Animetas,Animetas1,14008
dc,jitterypixels,3144
DANIΞTH,daniel100eth,7143
▽,3LAU,210311
The Deadstock OG 🍌,TheDeadstockOG,1625
JohnYi.eth,JohnYi09,3220
Drew Austin 🐎🏀🦧🖼,DrewAustin,8989
Spottie WiFi *Album Drops Today*,SpottieWiFi,5411
Michael Keen NFT Catcher 🍌,NFTicket,3850
WTBCoin.eth 🍌,WTBCoin,1465
Jerseyborn.eth 🍌,SeanSemola,3135
Allen Hena,RealAllenHena,19939
The NFT Gorilla,thenftgorilla,1393
cryptosoldier1.eth 🦇🔊,CRYPTOSOLDIER1,1435
Ape Vandelay,PoundHoundsNFT,1584
Jinzo,JinzoNFT,1804
BigSexyBartolo,BigSexyBartolo,1573
bunchu.eth,BunchuBets,4546
OhhShiny,AxieKing,20379
sneakerdad 🍌,sneakerdad25,1752
Sully,SullyGoFast,1683
Shiven,shiverrrrs,1558
ETH Stinker,DirtyCryptoApe,1447
onenine.eth 🥃➕🍺,kdonenine,1677
cr0ss.eth,cr0ssETH,3424
Matt H,ilovemattyice,8631
🏔 mtnman.eth 🏔,mtnman_eth,1405
jetset J 🍌,jetsetJ3,2015
SpaceLab.eth 🌌🧪,SpaceLabCrypto,2586
Walshy.eth,Walshy_Eth,2126
SuperRare 💎,SuperRare,128833
